,means,stds
0,1.222,0.859
1,1.809,1.53
2,0.696,1.059
3,0.0,0.0
4,0.0,0.0
5,1.045,1.18
6,1.53,1.013
7,0.011,0.145
8,5.166,3.378
9,3.694,2.454
10,35.23,20.485
11,1.308,3.802
12,5.725,3.383
13,8.838,6.94
14,3.879,2.113
15,3.728,1.911
16,0.0,0.0
17,0.335,0.811
18,0.269,0.61
19,0.128,0.336
20,0.001,0.036
21,0.001,0.036
22,9.264,4.603
23,0.427,1.264
24,0.436,1.267
25,6.552,3.664
26,0.708,1.539
27,1.056,2.153
28,0.521,1.013
29,3.91,3.219
30,0.209,0.571
31,2.483,1.878
32,0.233,0.433
33,0.282,0.46
34,0.338,0.648
35,0.367,0.672
36,0.459,0.733
37,0.667,0.846
38,0.12,0.327
39,0.186,0.39
40,0.115,0.318
41,0.0,0.0
42,0.0,0.0
43,0.004,0.065
44,1.732,1.511
45,1.51,1.254
46,0.123,0.446
47,0.273,0.546
48,0.033,0.178
49,16.839,11.186
50,8.781,7.488
51,2.972,2.934
52,0.304,0.509
53,1.214,1.063
54,2.687,2.442
55,79.979,39.301
56,185.974,94.777
57,10.579,1.924
