x,v1,v2
0.05,0.8285280728376327,0.5
0.1,0.6631259484066768,0.5
0.15000000000000002,0.575113808801214,0.5
0.2,0.503793626707132,0.5
0.25,0.44764795144157815,0.5833333333333334
0.3,0.4233687405159332,0.5833333333333334
0.35000000000000003,0.3884673748103187,0.5833333333333334
0.4,0.3505311077389985,0.5833333333333334
0.45,0.3277693474962064,0.6666666666666666
0.5,0.30804248861911987,0.75
0.55,0.2867981790591806,0.75
0.6000000000000001,0.25948406676783003,0.75
0.6500000000000001,0.2321699544764795,0.75
0.7000000000000001,0.2276176024279211,0.75
0.7500000000000001,0.2078907435508346,0.8333333333333334
0.8,0.18968133535660092,0.9166666666666666
0.8500000000000001,0.17147192716236723,1.0
0.9000000000000001,0.12898330804248861,1.0
0.9500000000000001,0.08952959028831563,1.0
